epoch,train_loss,valid_loss,accuracy,time
0,0.2768900394439697,0.21986398100852966,0.9259756207466125,04:27
1,0.2558917701244354,0.22397616505622864,0.9304009675979614,04:26
2,0.26278308033943176,0.2155473232269287,0.9286576509475708,04:25
3,0.22129549086093903,0.22866608202457428,0.9274507164955139,04:25
4,0.18162675201892853,0.21249113976955414,0.9322783946990967,04:25
5,0.16646263003349304,0.2165510207414627,0.9344240427017212,04:25
6,0.1382197141647339,0.2262435108423233,0.9332171082496643,04:27
7,0.08699361234903336,0.23102135956287384,0.9344240427017212,04:27
8,0.07447198778390884,0.24315299093723297,0.9361673593521118,04:27
9,0.07729710638523102,0.24389901757240295,0.9350945353507996,04:27
