epoch,train_loss,valid_loss,accuracy,perplexity,time
0,4.7500104904174805,4.6612701416015625,0.3007102608680725,105.77033996582031,1:27:56
1,4.714204788208008,4.590578556060791,0.301250696182251,98.55142974853516,1:28:02
2,4.525062561035156,4.423696041107178,0.31829503178596497,83.40398406982422,1:28:02
3,4.436898231506348,4.315774917602539,0.3299292325973511,74.87162017822266,1:27:47
4,4.3498311042785645,4.223644256591797,0.340382844209671,68.28186798095703,1:27:18
5,4.242636203765869,4.131485939025879,0.35013729333877563,62.2703857421875,1:27:34
6,4.115372180938721,4.038825511932373,0.36137691140174866,56.759639739990234,1:27:28
7,4.055037975311279,3.959313154220581,0.37050750851631165,52.42130661010742,1:28:12
8,3.9367072582244873,3.9067695140838623,0.3771335482597351,49.738014221191406,1:28:09
9,3.9305059909820557,3.895031452178955,0.378853440284729,49.15760040283203,1:27:34
