epoch,train_loss,valid_loss,accuracy,time
0,0.3618607521057129,0.32166141271591187,0.901473879814148,09:48
1,0.2618676424026489,0.32633328437805176,0.898552656173706,09:48
2,0.20028996467590332,0.2892221510410309,0.9119638800621033,09:50
3,0.14618095755577087,0.3086012601852417,0.9112335443496704,09:49
4,0.1164259985089302,0.3381573259830475,0.9073828458786011,09:48
5,0.0855725035071373,0.35007861256599426,0.9111672043800354,09:47
6,0.0829051211476326,0.3853967487812042,0.9019386768341064,09:51
7,0.06933741271495819,0.3716193437576294,0.904594361782074,09:49
8,0.05063539370894432,0.3940264880657196,0.9053910374641418,09:51
9,0.06021003797650337,0.3860137462615967,0.9084451198577881,09:49
10,0.0393875390291214,0.41347894072532654,0.9060549736022949,09:51
